trial_id,seed,initial_state_id,condition,outcome,actions,simulation_seconds,inference_calls,mean_policy_seconds,wall_seconds
seed-00-reference,0,0,reference,success,78,3.9,8,0.5454357223754869,7.026724048999313
seed-00-dim,0,0,dim,success,75,3.75,8,0.4896481945004325,6.446225606001462
seed-00-camera,0,0,camera,success,77,3.85,8,0.48956951324976217,6.481382300000405
seed-01-reference,1,1,reference,step_limit,160,8.0,16,0.4989571346247885,13.260940363999907
seed-01-dim,1,1,dim,step_limit,160,8.0,16,0.4902112036247672,13.072778445999575
seed-01-camera,1,1,camera,step_limit,160,8.0,16,0.49599507093739703,13.290091980999932
seed-02-reference,2,2,reference,step_limit,160,8.0,16,0.4897921744999394,13.231389349000892
seed-02-dim,2,2,dim,step_limit,160,8.0,16,0.4913366351249806,13.166462637000222
seed-02-camera,2,2,camera,step_limit,160,8.0,16,0.4867405496876245,12.964506771999368
seed-03-reference,3,3,reference,step_limit,160,8.0,16,0.5021848029999774,13.352442367999174
seed-03-dim,3,3,dim,step_limit,160,8.0,16,0.4821587550621871,12.896845352999662
seed-03-camera,3,3,camera,success,77,3.85,8,0.4800405457501711,6.446862183998746
seed-04-reference,4,4,reference,step_limit,160,8.0,16,0.48106559218729217,12.968151535000288
seed-04-dim,4,4,dim,step_limit,160,8.0,16,0.4808435233126147,12.921731692000321
seed-04-camera,4,4,camera,success,68,3.4,7,0.4771165581428899,5.651144761999603
seed-05-reference,5,5,reference,step_limit,160,8.0,16,0.4722982919997776,12.89079895299983
seed-05-dim,5,5,dim,step_limit,160,8.0,16,0.4792877890001819,12.993469991999518
seed-05-camera,5,5,camera,success,90,4.5,9,0.48624154244438006,7.476438629999393
seed-06-reference,6,6,reference,success,76,3.8,8,0.5402010163747946,6.9074767229994904
seed-06-dim,6,6,dim,success,72,3.6,8,0.48824055162549485,6.288616172998445
seed-06-camera,6,6,camera,success,77,3.85,8,0.4917514853752891,6.493847538000409
seed-07-reference,7,7,reference,success,83,4.15,9,0.49416050244427523,7.279288919000464
seed-07-dim,7,7,dim,success,81,4.05,9,0.4873742664442236,7.098109823000414
seed-07-camera,7,7,camera,success,122,6.1,13,0.4929963116154305,10.61753976700129
seed-08-reference,8,8,reference,success,78,3.9,8,0.489330431374583,6.429709201000151
seed-08-dim,8,8,dim,success,77,3.85,8,0.5081602842496977,6.588382373000059
seed-08-camera,8,8,camera,success,72,3.6,8,0.4779453339999691,6.211695926000175
seed-09-reference,9,9,reference,success,82,4.1,9,0.5317719684446476,7.552839347999907
seed-09-dim,9,9,dim,step_limit,160,8.0,16,0.4866336566872178,13.340982318000897
seed-09-camera,9,9,camera,step_limit,160,8.0,16,0.4788186586250731,13.043957941999906
